label,text,tokens,clean_text
ham,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,"['go', 'jurong', 'point', 'crazy', 'available', 'bugis', 'n', 'great', 'world', 'la', 'e', 'buffet', 'cine', 'got', 'amore', 'wat']",go jurong point crazy available bugis n great world la e buffet cine got amore wat
ham,ok lar joking wif u oni,"['ok', 'lar', 'joking', 'wif', 'u', 'oni']",ok lar joking wif u oni
spam,free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005 text fa to 87121 to receive entry questionstd txt ratetcs apply 08452810075over18s,"['free', 'entry', '2', 'wkly', 'comp', 'win', 'fa', 'cup', 'final', 'tkts', '21st', 'may', '2005', 'text', 'fa', '87121', 'receive', 'entry', 'questionstd', 'txt', 'ratetcs', 'apply', '08452810075over18s']",free entry 2 wkly comp win fa cup final tkts 21st may 2005 text fa 87121 receive entry questionstd txt ratetcs apply 08452810075over18s
ham,u dun say so early hor u c already then say,"['u', 'dun', 'say', 'early', 'hor', 'u', 'c', 'already', 'say']",u dun say early hor u c already say
ham,nah i dont think he goes to usf he lives around here though,"['nah', 'dont', 'think', 'go', 'usf', 'life', 'around', 'though']",nah dont think go usf life around though
spam,freemsg hey there darling its been 3 weeks now and no word back id like some fun you up for it still tb ok xxx std chgs to send å£150 to rcv,"['freemsg', 'hey', 'darling', '3', 'week', 'word', 'back', 'id', 'like', 'fun', 'still', 'tb', 'ok', 'xxx', 'std', 'chgs', 'send', 'å£150', 'rcv']",freemsg hey darling 3 week word back id like fun still tb ok xxx std chgs send å£150 rcv
ham,even my brother is not like to speak with me they treat me like aids patent,"['even', 'brother', 'like', 'speak', 'treat', 'like', 'aid', 'patent']",even brother like speak treat like aid patent
ham,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press 9 to copy your friends callertune,"['per', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'set', 'callertune', 'caller', 'press', '9', 'copy', 'friend', 'callertune']",per request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune
spam,winner as a valued network customer you have been selected to receivea å£900 prize reward to claim call 09061701461 claim code kl341 valid 12 hours only,"['winner', 'valued', 'network', 'customer', 'selected', 'receivea', 'å£900', 'prize', 'reward', 'claim', 'call', '09061701461', 'claim', 'code', 'kl341', 'valid', '12', 'hour']",winner valued network customer selected receivea å£900 prize reward claim call 09061701461 claim code kl341 valid 12 hour
spam,had your mobile 11 months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on 08002986030,"['mobile', '11', 'month', 'u', 'r', 'entitled', 'update', 'latest', 'colour', 'mobile', 'camera', 'free', 'call', 'mobile', 'update', 'co', 'free', '08002986030']",mobile 11 month u r entitled update latest colour mobile camera free call mobile update co free 08002986030
ham,im gonna be home soon and i dont want to talk about this stuff anymore tonight k ive cried enough today,"['im', 'gon', 'na', 'home', 'soon', 'dont', 'want', 'talk', 'stuff', 'anymore', 'tonight', 'k', 'ive', 'cried', 'enough', 'today']",im gon na home soon dont want talk stuff anymore tonight k ive cried enough today
spam,six chances to win cash from 100 to 20000 pounds txt csh11 and send to 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info,"['six', 'chance', 'win', 'cash', '100', '20000', 'pound', 'txt', 'csh11', 'send', '87575', 'cost', '150pday', '6days', '16', 'tsandcs', 'apply', 'reply', 'hl', '4', 'info']",six chance win cash 100 20000 pound txt csh11 send 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info
spam,urgent you have won a 1 week free membership in our å£100000 prize jackpot txt the word claim to no 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18,"['urgent', '1', 'week', 'free', 'membership', 'å£100000', 'prize', 'jackpot', 'txt', 'word', 'claim', '81010', 'tc', 'wwwdbuknet', 'lccltd', 'pobox', '4403ldnw1a7rw18']",urgent 1 week free membership å£100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18
ham,ive been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,"['ive', 'searching', 'right', 'word', 'thank', 'breather', 'promise', 'wont', 'take', 'help', 'granted', 'fulfil', 'promise', 'wonderful', 'blessing', 'time']",ive searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time
ham,i have a date on sunday with will,"['date', 'sunday']",date sunday
spam,xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,"['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'message', 'click', 'httpwap', 'xxxmobilemovieclubcomnqjkgighjjgcbl']",xxxmobilemovieclub use credit click wap link next txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
ham,oh kim watching here,"['oh', 'kim', 'watching']",oh kim watching
ham,eh u remember how 2 spell his name yes i did he v naughty make until i v wet,"['eh', 'u', 'remember', '2', 'spell', 'name', 'yes', 'v', 'naughty', 'make', 'v', 'wet']",eh u remember 2 spell name yes v naughty make v wet
ham,fine if thatåõs the way u feel thatåõs the way its gota b,"['fine', 'thatåõs', 'way', 'u', 'feel', 'thatåõs', 'way', 'gota', 'b']",fine thatåõs way u feel thatåõs way gota b
spam,england v macedonia  dont miss the goalsteam news txt ur national team to 87077 eg england to 87077 trywales scotland 4txtì¼120 poboxox36504w45wq 16,"['england', 'v', 'macedonia', 'dont', 'miss', 'goalsteam', 'news', 'txt', 'ur', 'national', 'team', '87077', 'eg', 'england', '87077', 'trywales', 'scotland', '4txtì¼120', 'poboxox36504w45wq', '16']",england v macedonia dont miss goalsteam news txt ur national team 87077 eg england 87077 trywales scotland 4txtì¼120 poboxox36504w45wq 16
ham,is that seriously how you spell his name,"['seriously', 'spell', 'name']",seriously spell name
ham,iû÷m going to try for 2 months ha ha only joking,"['i\x89û÷m', 'going', 'try', '2', 'month', 'ha', 'ha', 'joking']",iû÷m going try 2 month ha ha joking
ham,so ì pay first lar then when is da stock comin,"['ì', 'pay', 'first', 'lar', 'da', 'stock', 'comin']",ì pay first lar da stock comin
